,open,high,low,close
2021-07-16 08:00:00,31117.40039,31935.86914,31117.40039,31751.73047
2021-07-16 10:00:00,31851.00977,32157.44922,31764.99023,32102.78906
2021-07-16 12:00:00,32134.82031,32237.94922,31834.84961,32053.30078
2021-07-16 14:00:00,32073.16016,32081.97070,31873.41992,31927.99023
2021-07-16 16:00:00,31922.71094,31957.84961,31699.51953,31731.18945
2021-07-16 18:00:00,31745.98047,31855.68945,31350.81055,31392.17969
2021-07-16 20:00:00,31379.51953,31607.66992,31203.88086,31393.67969
2021-07-16 22:00:00,31354.25977,31480.33008,31258.16016,31303.35938
2021-07-17 00:00:00,31330.26953,31532.18945,31209.38086,31471.93945
2021-07-17 02:00:00,31492.00000,31585.73047,31438.50000,31512.19922
2021-07-17 04:00:00,31493.11914,31914.15039,31358.00000,31604.57031
2021-07-17 06:00:00,31609.50000,31609.50000,31277.43945,31381.46094
2021-07-17 08:00:00,31368.21094,31731.80078,31352.23047,31614.27930
2021-07-17 10:00:00,31635.25000,31753.55078,31462.15039,31753.55078
2021-07-17 12:00:00,31721.81055,31857.60938,31553.98047,31727.38086
2021-07-17 14:00:00,31702.84961,31895.91992,31680.14062,31834.32031
2021-07-17 16:00:00,31859.17969,31880.09961,31682.23047,31719.67969
2021-07-17 18:00:00,31701.76953,31709.10938,31498.58984,31499.83984
2021-07-17 20:00:00,31507.84961,32399.91992,31477.63086,32183.33008
2021-07-17 22:00:00,32233.98047,32265.21094,32074.89062,32155.02930
2021-07-18 00:00:00,32180.27930,32181.16016,32054.75977,32058.76953
2021-07-18 02:00:00,32062.69922,32069.14062,31689.86914,31702.66992
2021-07-18 04:00:00,31682.44922,31835.26953,31667.05078,31733.05078
2021-07-18 06:00:00,31692.91992,31792.68945,31576.58984,31785.03906
2021-07-18 08:00:00,31805.21094,31837.21094,31637.13086,31701.75000
2021-07-18 10:00:00,31676.22070,31736.97070,31226.99023,31370.71094
2021-07-18 12:00:00,31387.83984,31685.06055,31334.21094,31604.81055
2021-07-18 14:00:00,31593.83984,31713.23047,31574.32031,31642.33008
2021-07-18 16:00:00,31622.48047,31814.25977,31586.17969,31814.25977
2021-07-18 18:00:00,31866.65039,31883.58984,31509.35938,31770.00000
2021-07-18 20:00:00,31739.67969,31827.89062,31446.84961,31595.22070
2021-07-18 22:00:00,31601.75977,31678.25977,31468.48047,31545.97070
2021-07-19 00:00:00,31589.46094,31879.99023,31526.82031,31791.00977
2021-07-19 02:00:00,31808.48047,31834.08008,31602.15039,31604.10938
2021-07-19 04:00:00,31600.00977,31668.09961,31319.69922,31376.43945
2021-07-19 06:00:00,31379.66016,31439.30078,31194.39062,31271.09961
2021-07-19 08:00:00,31222.38086,31373.86914,30585.00000,30609.40039
2021-07-19 10:00:00,30644.00977,30929.84961,30457.93945,30664.05078
2021-07-19 12:00:00,30663.58008,30820.67969,30625.91016,30725.97070
2021-07-19 14:00:00,30766.56055,30797.66992,30589.63086,30723.64062
2021-07-19 16:00:00,30770.39062,30866.02930,30699.34961,30725.36914
2021-07-19 18:00:00,30758.91016,30981.17969,30757.97070,30835.74023
2021-07-19 20:00:00,30841.77930,31035.16016,30570.28906,30625.57031
2021-07-19 22:00:00,30651.25000,30678.41016,29574.10938,29602.53906
2021-07-20 00:00:00,29630.00000,29885.26953,29532.99023,29726.01953
2021-07-20 02:00:00,29738.90039,29865.46094,29632.30078,29865.46094
2021-07-20 04:00:00,29841.83984,29879.99023,29345.40039,29345.40039
2021-07-20 06:00:00,29394.08984,29767.00977,29303.09961,29692.78906
2021-07-20 08:00:00,29713.27930,29772.33984,29473.53906,29520.91992
2021-07-20 10:00:00,29534.35938,29963.83008,29360.93945,29879.01953
2021-07-20 12:00:00,29875.11914,29911.98047,29607.85938,29653.64062
2021-07-20 14:00:00,29672.55078,29881.05078,29638.21094,29773.89062
2021-07-20 16:00:00,29787.41016,29975.00000,29602.14062,29678.69922
2021-07-20 18:00:00,29669.39062,29870.03906,29504.73047,29793.49023
2021-07-20 20:00:00,29806.89062,29850.00000,29518.41992,29779.02930
2021-07-20 22:00:00,29753.25977,29900.00000,29708.58984,29838.80078
2021-07-21 00:00:00,29869.41992,30815.66016,29869.41992,30687.07031
2021-07-21 02:00:00,30707.66016,30881.00000,30645.68945,30820.15039
